Row_Type,Overall_Result,Check_Name,Check_Result,What_We_Checked,Records_Reviewed,Looked_Fine,Problems_Found,Problem_Detail,When_It_Ran,Run_ID,Data_Folder,Rules_Executed,Rules_Passed,Rules_Failed,Rules_Not_Run,Rules_Error,Data_Conformance_Accuracy_Percent,Data_Conformance_Accuracy_Display,Validation_Guide_File,Validation_Manifest_File
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7619PU' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7647SP' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7686S3' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7687J3' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7690DT' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '778FTR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7SDT10' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '901ADB' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '9065WP' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '9085WP' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '90OLWP' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '90PDTH' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
